part_number,model,manufacturer,type,capacity,bit_width,voltage,speed,package,dimensions,die_count,cs_count,die_revision,op_temp,notes
D8DKS,MT60B2G8RZ-56B:D,Micron,DDR5,16Gb,x8,1.1V VDD,DDR5-5600B CL46,VFBGA-78,7.5x11x0.9,1,1,Rev D,商用,服务器主流 DDR5 16Gb 单颗
D8DKT,MT60B2G8RZ-56B:D,Micron,DDR5,16Gb,x8,1.1V VDD,DDR5-5600B CL46,VFBGA-78,7.5x11x0.9,1,1,Rev T,商用,Rev T 副版本
D9DKS,MT60B2G8RZ-62E:D,Micron,DDR5,16Gb,x8,1.1V VDD,DDR5-6400B CL52,VFBGA-78,7.5x11x0.9,1,1,Rev D,商用,提速版 6400
D8CKS,MT60B2G8HB-56B:D,Micron,DDR5,16Gb,x8,1.1V VDD,DDR5-5600B CL46,VFBGA-82,7.5x11x0.9,1,1,Rev B,商用,HB 子系列
D4DKS,MT60B1G8RZ-56B:D,Micron,DDR5,8Gb,x8,1.1V VDD,DDR5-5600B CL46,VFBGA-78,7.5x11x0.9,1,1,Rev D,商用,容量减半版
DCDKS,MT60B4G8RZ-56B:D,Micron,DDR5,32Gb,x8,1.1V VDD,DDR5-5600B CL46,VFBGA-78,7.5x11x0.9,2,1,Rev D,商用,容量翻倍版 32Gb
D8DKP,MT60B2G8RZ-46E:D,Micron,DDR5,16Gb,x8,1.1V VDD,DDR5-4800B CL40,VFBGA-78,7.5x11x0.9,1,1,Rev D,商用,降速版
D5DKS,MT60B2G8RZ-48E:D,Micron,DDR5,16Gb,x8,1.1V VDD,DDR5-4800B CL40,VFBGA-78,7.5x11x0.9,1,1,Rev D,商用,
K4ZAF165BM-MC16,K4ZAF165BM-MC16,Samsung,DDR5,16Gb,x8,1.1V VDD,DDR5-5600B CL46,FBGA-78,7.5x11x0.9,1,1,,商用,Samsung DDR5 主流 16Gb x8
K4ZAF165BM-MGCL,K4ZAF165BM-MGCL,Samsung,DDR5,16Gb,x8,1.1V VDD,DDR5-6400B CL52,FBGA-78,7.5x11x0.9,1,1,,商用,Samsung 高速版
K4Z8F165BM-MC16,K4Z8F165BM-MC16,Samsung,DDR5,16Gb,x8,1.1V VDD,DDR5-5600B CL46,FBGA-78,7.5x11x0.9,1,1,,商用,
K4ZAF325BM-MC16,K4ZAF325BM-MC16,Samsung,DDR5,32Gb,x8,1.1V VDD,DDR5-5600B CL46,FBGA-78,7.5x11x0.9,2,1,,商用,
H58G56AK6A025,H58G56AK6A025,SK Hynix,DDR5,16Gb,x8,1.1V VDD,DDR5-5600B CL46,FBGA-78,7.5x11x0.9,1,1,,商用,SK 海力士 16Gb DDR5
H58G56AK6A032,H58G56AK6A032,SK Hynix,DDR5,16Gb,x8,1.1V VDD,DDR5-6400B CL52,FBGA-78,7.5x11x0.9,1,1,,商用,
H58G52AK6X025,H58G52AK6X025,SK Hynix,DDR5,16Gb,x4,1.1V VDD,DDR5-5600B CL46,FBGA-78,7.5x11x0.9,1,1,,商用,x4 位宽版本
MT40A1G16JC-062E,MT40A1G16JC-062E,Micron,DDR4,16Gb,x16,1.2V VDD,DDR4-3200 CL22,VFBGA-96,7.5x13x1.0,1,2,Rev E,商用,DDR4 主流 16Gb x16
